
Web Server Type,Request number,Initial request time,Final request time, File type, File size, Response time, Average time
Threaded,12,Fri Apr  5 19:58:07 2019,Fri Apr  5 19:58:08 2019,img.png,19242,0.009460,0.000000

Web Server Type,Request number,Initial request time,Final request time, File type, File size, Response time, Average time
Threaded,12,Fri Apr  5 19:58:07 2019,Fri Apr  5 19:58:08 2019,img.png,19242,0.009447,0.000000

Web Server Type,Request number,Initial request time,Final request time, File type, File size, Response time, Average time
Threaded,12,Fri Apr  5 19:58:07 2019,Fri Apr  5 19:58:08 2019,img.png,19242,0.009442,0.000000

Web Server Type,Request number,Initial request time,Final request time, File type, File size, Response time, Average time
Threaded,12,Fri Apr  5 19:58:07 2019,Fri Apr  5 19:58:08 2019,img.png,19242,0.009713,0.009450

Web Server Type,Request number,Initial request time,Final request time, File type, File size, Response time, Average time
Threaded,12,Fri Apr  5 20:01:34 2019,Fri Apr  5 20:01:35 2019,img.png,19242,0.008810,0.000000

Web Server Type,Request number,Initial request time,Final request time, File type, File size, Response time, Average time
Threaded,12,Fri Apr  5 20:01:34 2019,Fri Apr  5 20:01:35 2019,img.png,19242,0.008805,0.000000

Web Server Type,Request number,Initial request time,Final request time, File type, File size, Response time, Average time
Threaded,12,Fri Apr  5 20:01:34 2019,Fri Apr  5 20:01:35 2019,img.png,19242,0.008803,0.000000

Web Server Type,Request number,Initial request time,Final request time, File type, File size, Response time, Average time
Threaded,12,Fri Apr  5 20:01:34 2019,Fri Apr  5 20:01:35 2019,img.png,19242,0.009113,0.008806

Web Server Type,Request number,Initial request time,Final request time, File type, File size (bytes), Response time, Average time
Threaded,12,Fri Apr  5 20:22:23 2019,Fri Apr  5 20:22:24 2019,img.png,19242,0.008507,0.000000

Web Server Type,Request number,Initial request time,Final request time, File type, File size (bytes), Response time, Average time
Threaded,12,Fri Apr  5 20:22:23 2019,Fri Apr  5 20:22:24 2019,img.png,19242,0.008500,0.000000

Web Server Type,Request number,Initial request time,Final request time, File type, File size (bytes), Response time, Average time
Threaded,12,Fri Apr  5 20:22:23 2019,Fri Apr  5 20:22:24 2019,img.png,19242,0.008498,0.000000

Web Server Type,Request number,Initial request time,Final request time, File type, File size (bytes), Response time, Average time
Threaded,12,Fri Apr  5 20:22:23 2019,Fri Apr  5 20:22:24 2019,img.png,19242,0.008734,0.008502
